agents,targets,model,checkpoint,avg_dir_mismatch
40,2,Majority Model,18,0.8018959202611866
40,2,Majority Model,19,0.5282518815989885
40,2,Majority Model,20,0.6930381825735484
40,2,Majority Model,21,0.5266164910990854
40,2,Majority Model,22,0.7825503148894808
40,2,Majority Model,23,0.4671568713480328
40,2,Majority Model,24,0.6019339903575129
40,2,Majority Model,25,0.5641593745018183
40,2,Majority Model,26,0.6957560916785585
40,2,Majority Model,27,0.6172847192947397
40,2,Majority Model,28,0.47594650191339083
40,2,Majority Model,29,0.561030151736045
40,2,Majority Model,30,0.563134255840594
40,2,Voter Model,1,3.9318288399946475
40,2,Voter Model,2,1.1194488101508464
40,2,Voter Model,3,1.0818203110873337
40,2,Voter Model,4,1.6177061887237738
40,2,Voter Model,5,0.7622922484953503
40,2,Voter Model,6,0.7232313991530159
40,2,Voter Model,7,0.646062489404492
40,2,Voter Model,8,0.5704631858649013
40,2,Voter Model,9,0.5140748978339991
40,2,Voter Model,10,0.5903064470358484
40,2,Voter Model,11,0.6062043971755359
40,2,Voter Model,12,0.452785421834699
40,2,Voter Model,13,0.31405947032088727
40,2,Voter Model,14,0.7656939058446357
40,2,Voter Model,15,0.42973938844279286
40,2,Voter Model,16,0.5267975224040102
40,2,Voter Model,17,0.7190920409837745
40,2,Voter Model,18,0.441264768230611
40,2,Voter Model,19,0.5291480593354481
40,2,Voter Model,20,0.5854843516293595
40,2,Voter Model,21,0.5057435605114796
40,2,Voter Model,22,0.5056214350249231
40,2,Voter Model,23,0.44237857437127814
40,2,Voter Model,24,0.6289564294924247
40,2,Voter Model,25,0.6407177811955823
40,2,Voter Model,26,0.5142086686526521
40,2,Voter Model,27,0.4365811320109524
40,2,Voter Model,28,0.6726712258650449
40,2,Voter Model,29,0.6106931099479801
40,2,Voter Model,30,0.6687737276631727
40,2,Kuramoto Model,1,2.957953018915048
40,2,Kuramoto Model,2,3.5234017811336136
40,2,Kuramoto Model,3,3.409089161475562
40,2,Kuramoto Model,4,2.897591660703754
40,2,Kuramoto Model,5,2.598429326662827
40,2,Kuramoto Model,6,2.801971705242766
40,2,Kuramoto Model,7,3.251376717227933
40,2,Kuramoto Model,8,3.15501936696843
40,2,Kuramoto Model,9,2.7557275520991125
40,2,Kuramoto Model,10,3.1556853632914468
40,2,Kuramoto Model,11,3.121405864783175
40,2,Kuramoto Model,12,3.2487292108108035
40,2,Kuramoto Model,13,3.137653354649288
40,2,Kuramoto Model,14,3.0256896092702767
40,2,Kuramoto Model,15,3.1490570395236297
40,2,Kuramoto Model,16,3.2023374195145093
40,2,Kuramoto Model,17,3.0619620841971207
40,2,Kuramoto Model,18,3.0402030052486095
40,2,Kuramoto Model,19,3.15302335487143
40,2,Kuramoto Model,20,3.0543538380471356
40,2,Kuramoto Model,21,3.269081584577665
40,2,Kuramoto Model,22,3.216097498840348
40,2,Kuramoto Model,23,3.2157760734979712
